question_id,type_id,titles,options,Knowledge_id
37,3,物理课上 王老师利用传感器为同学们做 探究流体压强与流速的关系 的演示实验 装置如图甲所示 装置中a b c三节直径不同的塑料管连接在一起 右端与吹风机的尾部相连 当用吹风机抽气时 在同一时间内 通过每个管子的气体量相同 则细管内气体流速比粗管内气体流速 选填 大 或 小 将三个气体压强传感器探头分别插入三节管中 传感器与电脑相连 打开吹风机抽气时 电脑屏幕如图乙所示 已知①②③三条图线分别对应粗细不同的三节管中气体压强随时间变化的情况 由图像可知 平稳流动的气体 流速大处压强 图线③反映的是装置中 塑料管的气体压强随时间变化的情况 选填 a b 或 c 当王老师将抽气的吹风机调换挡位后 图像中①②③三条图线出现了下移 由此可以判断三节管中气体的流速 选填 增大 或 减小 实验后同学们继续研究了飞机机翼的形状 它上表面弯曲 下表面较平直 当飞机前进时 机翼上 下方气体流速不同 机翼上 下表面就存在着,,18
38,6,如图所示 小亮在暗室中用手电筒照射挂在白色墙上的小镜子 这是他看到被照射部分,墙是白色的 镜子是黑色的 墙是黑色的 镜子是白色的墙和镜子都是黑色的 墙和镜子都是白色的,26
39,6,关于小孔成像的下列说法 正确的是,小孔成像是由于光的直线传播形成的 小孔成的像是正立的实像 小孔成的像是倒立的虚像 小孔成的像不是实际光线会聚而成的,23
40,2,电视画面的颜色是由 三种色条合成的 其遥控器发出的光是 当不把遥控器对准电视机的控制窗口时 按一下按纽有时也可以控制电视 其原因是光的 过量的 照射对人体十分有害 轻则使皮肤粗糙 重则引起皮肤癌,,26
41,3,小闻和小宁想测石块的密度 器材有 天平 砝码 烧杯 足量的水 胶头滴管 他们经过思考 进行下面的操作 小闻把天平放在水平桌面上 将 调到标尺左端的零刻线处 如果此时指针偏向分度盘中线的左侧 应向 调节平衡螺母 使天平平衡 用调节好的天平称石块的质量 右盘中的砝码和标尺上的游码如图甲所示 则石块的质量为 g 为了测石块体积 他们进行了如图乙所示的实验操作 a 烧杯中装有适量的水 标记好水面的位置 测得烧杯和水的总质量为103g b 将石块放入装水的烧杯中 倒出超过标记处的水 并用胶头滴管调节使水面恰好在标记处 测出此时烧杯 水 石块全部的质量为145g c 通过计算 石块的密度为 kg/m <sub> 3 </sub> 实验结束后 他们进行讨论 若b操作中倒出水后 水面还高于标记处 这样的情况下测出的密度值将 选填 偏大 或 偏小,,5
42,6,用图象可以表示物体的运动规律 如图是甲 乙两物体由同一地点出发 沿同一路线到达同一目的地的运动时间和路程的关系图象 从图象 得出的下述结论中正确的是,两物体同时出发 甲先到达 甲 乙两物体从始至终都是做匀速直线运动 运动过程中 甲的平均速度大于乙的平均速度 全过程中 两物体的平均速度相等,8
43,6,关于体温计和实验室温度计的区别 下列说法中错误的是,体温计与实验温度计的区别仅是长度不同体温计内有一细管 温度计没有细管使用体温计前 需要用力甩动 把液体甩到35℃以下 普通温度计不能甩动使用体温计测量体温后 可离开身体读数 普通温度计不能离开被测物体,1
44,5,今年元旦 小奇乘车从莆田汽车站到湄洲岛文甲码头 在车站她看到了自己所乘客车的时刻表如下所示 发车站 目的站 发车时间 距离 到达时间 莆田汽车站 文甲码头 07 30 45km 09 30 根据时刻表 客车从莆田汽车站到达文甲码头站 全程的平均速度是多大 客车在公路上行驶的过程中 小奇看到了如图所示的标志牌 在遵守交通规则的前提下 从标志处到达文甲码头站 至少需要多少时间,,8
45,6,如图所示 甲 乙两个小球分别放在两个容器中处于静止状态 此时容器中液体深度不同 但液体对容器底部的压强相同 则,甲球的密度大于乙球的密度 甲球的密度等于乙球的密度 甲球的密度小于乙球的密度 无法判断哪个球的密度大,5
46,2,2013年5月20日 美国南部地区遭遇巨型龙卷风侵袭 龙卷风的实质是高速旋转的气流 它能 吸入 物体是由于龙卷风内部空气流速 填 大于 或 小于 外部空气流速 所以龙卷风内部的压强 填 大于 或 小于 外部压强,,18
47,2,目前 青少年近视现象十分严重 近视眼看远处物体时 物体的像落在视网膜的 填 前方 或 后面 需要佩带对光线有 作用的 透镜进行矫正 使远处物体在视网膜上成倒立 的实像 在甲乙两幅示意图中 矫正近视眼的是 填 甲 或 乙,,28
48,3,某同学用如图所示的实验装置探究阻力对物体运动的影响 他在水平台面上分别铺上不同材料 让同一小车从斜面上的同一高度由静止滑下 在小车停下的位置分别做上标记a b c ①用同一小车从同一斜面的同一高度由静止滑下是为了使小车到达水平面时小车的 初速度相同 ②若水平面上铺的材料种类是毛巾 木板 棉布 则标记c是小车在 表面下停下的位置 ③对上述实验进行 并进一步推理 如果运动的物体在没有受到力的作用时 将 ④若在水平面铺上同种材料 让同一小车从不同高度由静止滑下 则还可以探究小车 的关系 选填下列选项的序号 a 重力势能与质量 b 动能与速度 c 动能与质量,,9
49,6,用一端封闭的足够长的玻璃管做托里拆利实验时 下列哪种情况会影响管内水银柱的高度,改变玻璃管的粗细 少许改变管的倾斜程度改变水银槽内水银面的高低 玻璃管内漏进少许空气,17
50,2,弹簧测力计挂着一重为3n的物体 物体浸没并静止在水中 如图所示 物体 img 所受浮力是 如果测力计拉着物体的绳断开 在水中会 选填 下沉 上浮 悬浮 判断的依据是,,19
51,2,白光被分解成多种色光的现象叫光的 彩色电视画面的颜色是由 三基色 光组成的 如果一个物体能反射所有色光 则该物体呈现 色,,26
52,6,下列估测中 最接近实际的是,一个苹果的质量是150g 一元硬币的直径是1cm 初中女生100m赛跑所用时间约为1min 河北省夏季的最高气温约为25℃,7
53,6,某同学用体温计测量自己体温为35℃ 所测温度低于实际温度其原因可能是,体温计本身刻度不准体温计置于腋下的时间不够长体温计未与身体直接接触没有及时读出体温计显示的数值,1
54,6,游泳时手和脚向后划水的力和水向前推手和脚的力 在力的三要素上,大小 方向都相同 作用点不同 完全相同大小相同 方向和作用点都不同 作用点相同 大小 方向都不同,9
55,6,下列说法不正确的是,近视镜片中间薄 边缘厚 是凹透镜照相机拍摄物体所成的像是倒立的实像近视眼不戴眼镜时成的像在视网膜的前面用望远镜观察远处的物体 物镜成的是放大的像,28
56,6,如图所示 一根弹簧 一端固定在竖直墙上 在弹性限度内用手水平向右拉伸弹簧另一端 下列有关 弹簧形变产生的力 描述正确的是,手对弹簧的拉力 弹簧对手的拉力墙对弹簧的拉力 以上说法都正确,11
57,6,全国大学生皮划艇锦标赛于2016年10月15日-16日在丽水南明湖举行 如图是比赛时的场景 下列 不正确的是,运动员用桨划水时 桨相当于杠杆皮划艇前进时 以水为参照物运动员是静止的运动员用浆向后划水时 水对桨施加向前的作用力用力划水能使皮划艇加速前进 说明力能改变物体的运动状态,14
58,2,如图1所示 小华用刻度尺测出寿山石的长度为 cm 接着用天平测量寿山石的质量 在调节天平时 发现指针偏向如图2甲所示 此时应将平衡螺母向 选填 左 或 右 端调 称量过程中 又发现指针偏向分度盘的左侧 他应在右盘 选填 增加 或 减小 砝码 天平平衡时右盘砝码的质量 游码在标尺上的位置如图2乙所示 那么寿山石的质量为 g 再测出它的体积为20cm <sub> 3 </sub> 则该寿山石的密度是 g/cm <sub> 3 </sub>,,5
59,6,下列关于凸透镜对光的会聚作用的理解不正确的是,凸透镜能使平行于主光轴的光线会聚于焦点任何一束光线通过凸透镜后都将会聚于一点凸透镜使能够会聚的光线提前会聚凸透镜能使发散的光线减小发散,27
60,2,如图所示 向两张纸中间吹气 纸会相互靠拢 这个现象说明 气体中流速越大的位置 压强越 选填 大 或 小,,18
61,6,如图是眼睛的成像光路 下列说法正确的是,甲是近视眼 应戴凸透镜眼镜 乙是远视眼 应戴凹透镜眼镜甲是远视眼 应戴凸透镜眼镜 乙是近视眼 应戴凹透镜眼镜甲是远视眼 应戴凹透镜眼镜 乙是近视眼 应戴凸透镜眼镜甲是近视眼 应戴凹透镜眼镜 乙是远视眼 应戴凸透镜眼镜,28
62,6,有关光现象 以下说法正确的是,当我们迎着月光走在有水的路面时 地上暗处是光的镜面反射现象美丽的湖面 波光粼粼 这是由于光的漫反射引起的在平静的湖面上可以看到蓝天白云是由于光的折射形成的通过汽车后视镜观察到后面的景物 这是光的折射现象,25
63,2,已知ρ <sub> 水 < sub> =1 0*10kg m <sub> 3 < sub> ρ <sub> 冰 < sub> =0 9*10 <sub> 3 < sub> kg m <sub> 3 < sub> 体积为1m <sub> 3 < sub> 的水全部凝固成冰后 冰的重力为 n 水凝固成冰后体积 选填 变大 变小 或 不变,,12
64,6,有一根竖直吊着的弹簧 如果在弹簧下端挂上质量为m <sub> 1 < sub> 的物体后 弹簧长度为l <sub> 1 < sub> 如果在弹簧下端挂上质量为m <sub> 2 < sub> 的物体后 弹簧长度为l <sub> 2 < sub> 则弹簧原来的长度为 m <sub> 1 < sub> ＜m <sub> 2 < sub> 上述过程弹簧均处于弹性限度内,l <sub> 1 < sub> +l <sub> 2 < sub> l <sub> 2 < sub> -l <sub> 1 < sub> \frac{{l} {1}{m} {2} {l} {2}{m} {1}}{{m} {2} {m} {1}} \frac{{l} {2}{m} {2} {l} {1}{m} {1}}{{m} {2} {m} {1}},11
65,3,同学们在学习 阿基米德原理 这节课上 仔细观察了老师所做的演示实验 如图甲所示 课后复习时 物理兴趣小组的同学们 经过反复地思考 讨论 提出了对该实验的改进意见 并动手制作出了如图乙所示的实验装置 其中a b为两个规格相同的弹簧测力计 c为重物 d为薄塑料袋 质量不计 e是用废弃的大号饮料瓶 带孔橡皮塞以及弯曲玻璃管自制的溢水杯 杯中加入红色的水 f是升降平台 摇动手柄 可使平台高度缓慢上升 下降 g为铁架台 实验中 同学们逐渐调高平台f 使重物浸入水中的体积越来越大 观察到弹簧测力计a的示数 弹簧测力计b的示数 前两空填 增大 减小 或 不变 比较弹簧测力计a的示数变化量f <sub> a < sub> ′和弹簧测力计b的示数变化量f <sub> b < sub> ′ 它们的大小关系是f <sub> a < sub> ′ 填 ＞ ＜ 或 = f <sub> b < sub> ′ 通过 你认为应提醒兴趣小组的同学在操作时要注意什么问题 请写出两条 ① ② 对比甲 乙两图的两组实验 改进后的实验与原实验比较有哪些优点 请写出两条 ① ②,,19
66,2,小龙同学利用 一个厚玻璃瓶 带孔的橡皮塞 细玻璃管和带颜色的水制成一个简易的气压计 如图所示 他将玻璃瓶从一楼的实验室拿到五楼的教室 观察到细玻璃管中水面 选填 上升 或 下降 这一现象说明了大气压随高度增加而,,17
67,6,如图所示 分别用f <sub> 1 < sub> f <sub> 2 < sub> f <sub> 3 < sub> f <sub> 4 < sub> 匀速提升同一重物 若不计滑轮自身的重力及摩擦 则,f <sub> 1 < sub> =f <sub> 2 < sub> ＞f <sub> 3 < sub> =f <sub> 4 < sub> f <sub> 1 < sub> ＞f <sub> 2 < sub> ＞f <sub> 3 < sub> ＞f <sub> 4 < sub> f <sub> 1 < sub> =f <sub> 2 < sub> ＞f <sub> 3 < sub> ＞f <sub> 4 < sub> f <sub> 1 < sub> =f <sub> 2 < sub> ＞f <sub> 4 < sub> ＞f <sub> 3 < sub>,15
68,3,在 探究凸透镜成像规律 的实验中 如图甲所示 一束平行于凸透镜主光轴的光射向凸透镜 前后调节光屏的位置 直至在光屏上形成了一个 的光斑 此时如图甲所示 则凸透镜的焦距为 cm 小芳将蜡烛 凸透镜 光屏依次放在光具座上 点燃蜡烛后 实验中出现了如图乙所示的情形 要使像成在光屏的中央 应将光屏向 上 或 下 调整 把烛焰放在距此凸透镜60cm处时如图丙所示 在凸透镜另一侧移动光屏 会在光屏上得到一个倒立 的实像 选填 放大 缩小 或 等大 在上述实验的基础上 将蜡烛向远离透镜方向移动 要在光屏上得到清晰的像应将光屏 透镜 选填 远离 或 靠近 物体到像的距离会 选填 变大 或 变小 或 不变,,27
69,6,在 探究凸透镜成像规律的实验 中 小红调节蜡烛 凸透镜和光屏的位置 在光屏上成清晰的像如图所示 下列说法正确的是 img,教学中使用的投影仪 电源放映机都是利用了图中的成像规律 如果把蜡烛与光屏对调 光屏出现清晰缩小的像 凸透镜位置不动 如果使蜡烛向左移动 光屏需要向右移动才能接收到清晰的像 如果在原凸透镜位置换上移焦距更小的凸透镜 光屏不动 为在光屏上接收到清晰的像 应将蜡烛适当向右移动,27
70,6,生活处处有物理 留心观察皆学问 对以下现象解释正确的是,把酒精擦在手背上 手背感觉很凉爽 是因为酒精蒸发要吸收热量 初冬季节 在家里洗澡时发现房间里充满 白气 这 白气 是水蒸气 放在衣橱里的樟脑丸 时间久了会明显变小 是因为樟脑丸蒸发为气体跑掉了 在夏季的早晨看到足球场里的草叶上挂满了露珠 而到了初冬 露水不见了 却看到了薄薄的一层霜 可见 霜是由露变成的,3
71,2,在北京某科技馆内 有一个风洞实验室 一架模型飞机固定在托盘测力计上 示数单位为n 无风时 托盘测力计示数为13n 当迎面吹着飞机的风速达到15m s时 托盘测力计的示数如图所示 可以判定飞机又受到了一个力的作用 根据你的 飞机受到的该力大小为 n 方向,,10
72,6,一刻度均匀的温度计放在冰水混合物中时 示数为10℃ 用它测一个标准大气压下沸水的温度时 读数是90℃ 若用它来测得温水的温度为70℃ 则温水的实际温度应为,55℃ 75℃ 50℃ 80℃,1
73,2,飞机获得向上的升力是由于飞机机翼上方为 型 选填 凹 或 凸 上方空气流速 压强 下方空气流速 压强 这个压强差就形成了飞机的升力,,18
74,2,如图 滑轮重及摩擦不计 提升的重物重均为g 则f <sub> 1 < sub> = f <sub> 2 < sub> = f <sub> 3 < sub> = f <sub> 4 < sub> =,,15
75,2,如图是农村曾用的舂米工具的结构示意图 杆ab可绕o点转动 杆右端均匀柱形物体的长度与杆右侧的ob相等地 杆ab的重力不计 柱形物体较重 制作舂米工具时 为了使作用在a点的力f更小 在其它条件相同时 只改变支点o点的位置 应将o点更靠近 端 若作用在a点的动力f方向始终与杆垂直 则杆从水平位置缓慢转动45°角的过程中 动力f大小的变化是,,14
76,6,生活中我们经常使用体温计 下列关于体温计的说法中正确的是,它的分度值是1℃ 它不能离开被测物体读数 它是根据液体热胀冷缩的规律制成的 它可以放置在沸腾的水中高温消毒,1
77,3,小明用弹簧测力计 圆柱体 两个相同的圆柱形容器 分别装有一定量的水和盐水 对浸在液体中的物体所受的浮力进行了探究 其装置和弹簧测力计示数如图所示 图甲 乙 丙 说明浮力的大小与 有关 为了探究浮力大小与物体浸没在液体中的深度有无关系 可选用 图的装置来进行操作 圆柱体浸没在水中时受到的浮力是 n 圆柱体的体积是 m <sub> 3 < sub> g取l0n kg 用图示实验数据测出盐水的密度是 kg m <sub> 3 < sub>,,19
78,5,在探究 物体的质量与体积之间的关系 时 小明同学把收集到的数据填入下表 但他漏填了第二次测量的质量和体积 其质量和体积的读数如图中所示 请你帮他完成下表 实验次数 测量对象 质量m/g 体积v/cm <sub> 3 </sub> 质量/体积g/cm <sub> 3 </sub> 1 铁块1 46 8 6 7 80 2 铁块2 3 铁块3 156 20 7 80 4 塑料块1 7 5 6 1 25 5 塑料块2 12 5 10 1 25 6 塑料块3 25 20 1 25 表格中的数据 可以得出的结论是 写出一个 小明与其他同学交流后 发现从表中的数据可以看出 由同种物质组成的不同物体其质量与体积之间存在一个关系 其表达式为,,5
79,2,气象部门实施人工降雨时用火箭将碘化银洒向云层 碘化银吸附水汽 加速水蒸气 形成小水滴 或加速水蒸气 形成冰晶 下落过程中冰晶遇到热空气 形成小水滴 均填物态变化名称,,3
80,6,关于透镜 下列说法正确的是,凸透镜对光有会聚作用 通过凸透镜的光线一定会聚到焦点上放在凹透镜焦点上的点光源 它发出的光线经透镜折射后平行主光轴不论是凸透镜还是凹透镜 经过透镜光心的光线方向都不变凸透镜有两个虚焦点 凹透镜有两个实焦点,27
81,2,将太阳光通过三棱镜后 用一个白屏来承接 在白屏形成一条彩色的光带 这个现象称为光的 现象 白屏上的彩色光带可分辨出七种颜色的可见光 科学研究发现 除了这七种颜色的可见光 还有两种人看不见的光它们是,,26
82,2,有些跑车在车尾安装了一种 气流偏导器 如图由于 气流偏导器 上表面平直 下表面呈弧形凸起 当跑车高速行驶时 流过它上方的空气速度比下方空气速度 选填 大或小 此时 上方空气压强比下方空气压强 选填 大或小 这样 气流偏导器 受到一个向 选填 上或下 的压力差 从而使车轮抓紧地面,,18
